word_de,word_en,word_de_perfekt
abtrocknen,to dry off,abgetrocknet
abwaschen,to wash off,abgewaschen
achten,to respect,geachtet
anbauen,to grow/cultivate,angebaut
anbieten,to offer,angeboten
anfassen,to touch/feel,angefasst
anhalten,to halt/stop,angehalten
annehmen,to accept,angenommen
anschauen,to look at,angeschaut
ansehen,to look at,angesehen
anstarren,to stare at,angestarrt
anstrengen sich,to exert; to try harder,angestrengt
anzünden,to light/ignite,angezündet
atmen,to breathe,geatmet
aufhalten,to stop,aufgehalt
aufstehen,to stand up,aufgestanden
auslaufen,to run out/expire,ausgelauft
ausräumen,"to dispel, empty; to clear out",ausgeräumt
aussteigen,to get out/off,ausgestiegen
begleiten,to accompany,begleitet
begrüßen,to welcome or greet,begrüßt
bekommen,to get,bekommen
bemerken,to notice,bemerkt
beschädigen,to damage,beschädigt
bewegen,"to move (as in ""to move your body"")",bewogen
bringen,to bring,gebracht
dauern,to last/take (time),gedauert
denken,to think,gedacht
drehen,to spin/rotate,gedreht
einholen,to catch up with; to gather,eingeholt
einladen,to invite,eingeladen
entdecken,to discover,entdeckt
entschuldigen,to apologize,entschuldigt
erfahren,to learn (experience),erfahren
erhalten,to receive/get,erhalten
erkennen,to recognize,erkannt
erklären,to explain; to declare or state,erklärt
erleben,to experience,ergeleben
erlegen,to kill (an animal),erlegt
erwarten,"to expect, await, anticipate",erwartet
feiern,to celebrate,gefeiert
folgen,to follow,gefolgt
gebären,to give birth,geboren
gefallen,to like/please,gefallen
gehören,to belong to; to be part of,gehört
gießen,to water (as in plants),gegossen
gründen,"to found, establish",gegründet
gucken,to look or peek,geguckt
heben,to lift,gehoben
holen,to fetch,geholt
hören,to hear/listen,gehört
klingeln,to ring,geklingelt
lachen,to laugh,gelacht
landen,to land,gelandet
lassen,to let,gelassen
laufen,to run,gelauft
legen,to put (lying),gelegt
leiten,to manage,geleitet
lesen,to read,gelesen
lächeln,to smile,gelächelt
lügen,to lie (to tell a lie),gelogen
malen,to draw,gemalt
mitbringen,to with-bring,mitgebracht
nachdenken,"to think about, to ponder",nachgedacht
putzen,to clean/polish,geputzt
rauchen,to smoke,geraucht
reden,to talk/discuss,geredet
riskieren,to risk,riskiert
rudern,to row,gerudert
ruhen,to rest/relax,"geruht), ausruhen (ausgeruht"
räumen,to clear/vacate,geräumt
schicken,to send (out),geschickt
schreien,to scream/cry/shout/cry out,geschrien
schwänzen,to skip (as in skip class),geschwänzt
schätzen,to appreciate,geschätzt
sich anziehen,to get dressed,angezogen
sich auskennen,"to know about, be informed about",ausgekannt
sich beeilen,to hurry up,beeilt
sich sorgen,to worry,gesorgt
sich verstecken,to hide,versteckt
sparen,to save (as in money),gespart
spazieren,to stroll,spaziert
spülen,to rinse,gespült
stechen,to sting,gestochen
stehen,to stand/be/stay,gestanden
stehlen,to steal,gestohlen
steigen,"to rise, increase, climb",gestiegen
stellen,to put (standing),gestellt
stimmen,to be right,gestimmt
stoppen,to stop,gestoppt
tanzen,to dance,getanzt
teilen,to share,geteilt
trauen,to dare,getraut
trocknen,to dry,getrocknet
umarmen,to embrace,umarmt
unterstützen,to support,unterstützt
verdienen,to earn; to deserve,verdient
vereinbaren,to agree,vereinbart
vergessen,to forget,vergessen
vergleichen,to compare,verglichen
verkaufen,to sell,verkauft
vermissen,"to miss, lack, yearn",vermisst
vertrauen,to trust,vertraut
vorbereiten,to get ready for,vorbereitet
waschen,to wash,gewaschen
wischen,to wipe,gewischen
herausfinden,to find out,herausgefunden
zeigen,to show/demonstrate,gezeigt
zumachen,to close,zugemacht
zurückkehren,"to return, go back, come back",zurückgekehrt
zustellen,to deliver,zugestellt
zuwinken,to wave to,zugewinkt
zweifeln,"to question, doubt",gezweifelt
zögern,to hesitate,gezögert
ändern,"to change, modify",geändert
üben,to practice,geübt
überleben,to survive,überlebt
überlegen,to consider or deliberate over,überlegt
überqueren,to cross,überquert
überraschen,to surprise,überrascht
überwachen,to monitor/watch over,überwacht
überzeugen,to convince,überzeugt
sich unterhalten,to talk to,sich unterhalten
sich streiten,to argue,sich gestritten
sich beschweren,to complain,sich beschwert
sich errinern,to remember,sich errinert
strukturieren,to structure,strukturiert
